,file_name,machine,normal,anormal,artefacts,classification,view_classes_3,is_jaw,is_spine,split_anomaly,split_classification,train_val_test
0,17_12-0_l,1,x,,,0,1,0,1,train,train,train
1,17_12-0_r,1,x,,,0,1,0,1,train,train,train
2,17_12-1_l,1,x,,,0,0,0,0,train,train,train
3,17_12-1_r,1,x,,,0,0,0,0,train,train,train
4,17_12-2_l,1,x,,,0,3,1,1,train,train,train
5,17_12-2_r,1,x,,,0,2,1,0,train,train,train
6,17_12-3_l,1,?,?,,7,2,1,0,test,test,val
7,17_12-3_r,1,x,,,0,2,1,0,train,test,val
8,17_12-4_l,1,x,,,0,1,0,1,train,train,train
9,17_12-4_r,1,x,,,0,0,0,0,train,train,train
10,17_12-5_l,1,x,,,0,1,0,1,train,train,val
11,17_12-5_r,1,x,,,0,1,0,1,train,train,val
12,17_12-6_l,1,x,,,0,1,0,1,train,train,train
13,17_12-6_r,1,x,,,0,1,0,1,train,train,train
14,17_12-7_l,1,x,,,0,0,0,0,train,train,train
15,17_12-7_r,1,x,,,0,1,0,1,train,train,train
16,17_12-8_l,1,x,,,0,3,1,1,train,train,val
17,17_12-8_r,1,x,,,0,3,1,1,train,train,val
18,17_12-9_l,1,x,,,0,1,0,1,train,train,train
19,17_12-9_r,1,x,,,0,1,0,1,train,train,train
20,17_12-10_l,1,?,?,,7,0,0,0,test,test,test
21,17_12-10_r,1,x,,,0,1,0,1,train,test,test
22,17_12-11_l,1,x,,,0,1,0,1,train,train,train
23,17_12-11_r,1,x,,,0,1,0,1,train,train,train
24,17_12-12_l,1,x,,,0,1,0,1,train,train,train
25,17_12-12_r,1,x,,,0,1,0,1,train,train,train
26,17_12-13_l,1,x,,,0,0,0,0,train,train,train
27,17_12-13_r,1,x,,,0,0,0,0,train,train,train
28,17_12-14_l,1,x,,,0,0,0,0,train,train,train
29,17_12-14_r,1,x,,,0,2,1,0,train,train,train
30,17_12-15_l,1,x,,,0,0,0,0,train,train,train
31,17_12-15_r,1,x,,,0,2,1,0,train,train,train
32,17_12-16_l,1,x,,,0,3,1,1,train,train,train
33,17_12-16_r,1,x,,,0,3,1,1,train,train,train
34,17_12-17_l,1,x,,,0,2,1,0,train,train,train
35,17_12-17_r,1,x,,,0,2,1,0,train,train,train
36,17_12-18_l,1,x,,,0,0,0,0,train,train,train
37,17_12-18_r,1,x,,,0,0,0,0,train,train,train
38,17_12-19_l,1,x,,,0,0,0,0,train,train,train
39,17_12-19_r,1,x,,,0,0,0,0,train,train,train
40,17_12-20_l,1,x,,,0,0,0,0,train,train,val
41,17_12-20_r,1,x,,,0,0,0,0,train,train,val
42,17_12-21_l,1,x,,,0,0,0,0,train,train,train
43,17_12-21_r,1,x,,,0,2,1,0,train,train,train
44,17_12-22_l,1,x,,,0,1,0,1,train,train,train
45,17_12-22_r,1,x,,,0,1,0,1,train,train,train
46,17_12-23_l,1,x,,,0,0,0,0,train,train,train
47,17_12-23_r,1,x,,,0,1,0,1,train,train,train
48,17_12-24_l,1,x,,,0,0,0,0,train,train,train
49,17_12-24_r,1,x,,,0,2,1,0,train,train,train
50,17_12-25_l,1,x,,,0,1,0,1,train,train,train
